id,long,lat
1,-1.3960704,50.9376734
2,-1.3981275,50.9362789
2A,-1.3975235,50.9364286
4,-1.3977134,50.9360909
5,-1.3948313,50.9355883
6,-1.3972189,50.9359585
7,-1.3940282,50.9353558
8,-1.3947926,50.936537
9,-1.394215,50.9355501
13,-1.393488,50.935551
15,-1.3933722,50.9358355
16,-1.3956608,50.9376285
17,-1.3946145,50.9362396
18,-1.3966792,50.9338813
19,-1.392867,50.9355444
20,-1.3951265,50.9368962
21,-1.3932157,50.9351646
22,-1.3941636,50.9350233
25,-1.3934585,50.9347702
26,-1.3941216,50.9347143
27,-1.393776,50.93432
28,-1.3945278,50.9346967
29,-1.3939798,50.9340008
30,-1.3944765,50.9343082
32,-1.395905,50.9364157
34,-1.395317,50.9344936
35,-1.394475,50.93383
36,-1.395156,50.934986
37,-1.395696,50.934147
38,-1.3974278,50.9354059
39,-1.399298,50.936722
40,-1.3973325,50.9347275
41,-1.395301,50.933559
42,-1.397511,50.934219
44,-1.399062,50.934322
45,-1.394014,50.937801
46,-1.3996014,50.9348505
48,-1.399485,50.935696
50,-1.3994,50.936142
52,-1.3988324,50.9358682
53,-1.398236,50.937412
54,-1.3988756,50.9362228
57,-1.396755,50.934399
58,-1.398697,50.936592
59,-1.3977863,50.9374063
60,-1.3975471,50.93774
62,-1.4049952,50.9372304
65,-1.402838,50.929203
67,-1.3966181,50.9366885
68,-1.394491,50.892773
77,-1.4068368,50.920439
85,-1.395323,50.936436
86,-1.396765,50.93739
92,-1.4255025,50.9621255
93,-1.363412,50.952282
96,-1.4233506,50.9619135
97,-1.4250697,50.9609746
99,-1.4226617,50.961019
115,-1.397173,50.936291
123,-1.396685,50.898575
146,-1.409098245,50.90863559
147,-1.409657827,50.9083573
148,-1.40964574,50.90871149
150,-1.3840867,50.9307365
151,-1.3838409,50.9311694
152,-1.3838018,50.9312434
165,-1.3907767,50.9284882
166,-1.082381,50.789497
168,-1.378118044,50.93991462
169,-1.378284082,50.94007008
170,-1.378037521,50.94016377
171,-1.378118044,50.93991462
177,-1.403968153,50.93696999
185,50.93782091,-1.404858637
186,-1.4061021,50.93755118
1050,-1.395323,50.933235
1051,-1.395356,50.933338
1101,-1.3959296,50.9330414
1102,-1.3960392,50.9333389
1104,-1.396101,50.9334345
1105,-1.3961544,50.933516
1106,-1.3962246,50.9335868
1107,-1.3962471,50.9336275
1220,-1.395103,50.938011
1221,-1.395002,50.938026
1222,-1.39495,50.938034
1390,-1.400937,50.933636
1391,-1.400937,50.933636
1395,-1.4037955,50.9381522
1401,-1.3979365,50.9330741
1402,-1.3979888,50.933101
1403,-1.3980886,50.9331489
1404,-1.3981409,50.9331759
1405,-1.3982264,50.9332298
1406,-1.3982834,50.9332568
1407,-1.398388,50.9333077
1408,-1.3984498,50.9333406
1409,-1.3985496,50.9333886
1410,-1.3986066,50.9334155
1411,-1.398716,50.9334605
1412,-1.3987777,50.9334904
1413,-1.3990059,50.9336012
1414,-1.3990629,50.9336342
1415,-1.3991675,50.9336731
1416,-1.3992198,50.9337061
1417,-1.3993291,50.933742
1418,-1.3993814,50.933772
1419,-1.3994954,50.9338139
1420,-1.3995477,50.9338439
1421,-1.3997949,50.9339487
1422,-1.3998519,50.9339817
1423,-1.3999612,50.9340266
1424,-1.4000135,50.9340535
1425,-1.4001038,50.9341015
1426,-1.4001608,50.9341314
1501,-1.393987,50.933098
1502,-1.393974,50.933182
1503,-1.393982,50.93327
1504,-1.393979,50.933353
1505,-1.393965,50.933445
1506,-1.393944,50.933529
1507,-1.393915,50.933605
1508,-1.393915,50.933701
1580,-1.401279,50.928944
1601,-1.3925923,50.9350404
1602,-1.3926691,50.9350607
1603,-1.4032566,50.9380349
1604,-1.4039043,50.9425216
1610,-1.37853,50.936123
1612,-1.380123,50.934734
1622,-1.390499,50.936714
1630,-1.393715,50.9369467
1640,-1.398211,50.929989
1710,-1.4032158,50.9421475
1730,-1.3001172,51.0686667
9001,-1.363689,50.951485
9004,-1.363506,50.951576
9011,-1.365365,50.950558
9012,-1.365365,50.950558
9014,-1.39509,50.9333
9500,-1.436441,50.932362
9510,-1.435797,50.932819
9520,-1.435561,50.933701
9530,-1.434392,50.933247
9540,-1.43714396,50.93266106
9550,-1.434907,50.935337
9555,-1.434091664,50.93406646
9580,-1.433555,50.934307
9585,-1.3973994,50.9125279
9590,-1.427804,50.940327
9591,-1.110778,51.279823
9592,-1.330204,51.061089
9593,-1.065159,50.800404
9594,-1.300592,50.711353
9595,-1.082381,50.789497
37A,-1.395687,50.933811
58A,-1.3980786,50.9367447
63A,-1.3088779,51.0657027
63C,-1.3087201,51.065325
63F,-1.3097192,51.0656271
63G,-1.3098995,51.0653675
63K,-1.310366,51.066025
63L,-1.3102375,51.066373
65A,-1.403128,50.928783
65B,-1.4036629,50.9288317
70A,-1.4031107,50.941608
70AA,-1.4025225,50.9415981
70B,-1.4032631,50.9412373
70BB,-1.401953,50.941452
70C,-1.403592,50.941536
70CC,-1.4024437,50.9412837
70D,-1.4032263,50.941843
70E,-1.4034784,50.9420383
72A1-A,-1.374458,50.937782
72A1-B,-1.374393,50.937683
72A1-C,-1.374334,50.937595
72A2-D,-1.37445,50.937393
72A2-E,-1.37467,50.937344
72A2-F,-1.374884,50.937279
72A2-G,-1.375187,50.937355
72A2-H,-1.375257,50.937454
72A2-J,-1.375327,50.937561
72A2-K,-1.374989,50.937805
72A2-L,-1.375083,50.937973
72C,-1.375367,50.93819
72D-M,-1.37549,50.938461
72D-N,-1.375209,50.938553
72D-P,-1.374951,50.938625
72E-Q,-1.374581,50.938484
72E-R,-1.374367,50.938183
72F-S,-1.375544,50.938591
72G,-1.374106,50.937477
73A,-1.4029587,50.943379
73B,-1.4032985,50.9434045
73B1,-1.400848,50.94405
73B2,-1.400848,50.94405
73B3,-1.400848,50.94405
73B4,-1.400848,50.94405
73C,-1.4032123,50.9436282
73D,-1.4024566,50.9439382
73E,-1.4021067,50.9438934
73F,-1.402203,50.9436793
73G,-1.4018785,50.9436666
73H,-1.4020052,50.9441011
73J,-1.401488,50.943919
73K,-1.4009757,50.9432479
73L,-1.4006309,50.9437049
73M,-1.3998397,50.9437017
73N-A,-1.402854,50.94236
73N-B,-1.402854,50.94236
73N-C,-1.402854,50.94236
73N-D,-1.402854,50.94236
73N-E,-1.402854,50.94236
73N-F,-1.402854,50.94236
73N-G,-1.402854,50.94236
73N-H,-1.402854,50.94236
73N-J,-1.402854,50.94236
73N-K,-1.402854,50.94236
73Q1,-1.402873,50.943848
73Q2,-1.402873,50.943848
73R,-1.404631,50.9434354
73S,-1.401352,50.944126
73T,-1.3994289,50.9431457
73W,-1.4031058,50.9431776
73X-Q,-1.4026798,50.9429667
73X-R,-1.4023501,50.9429188
73X-S,-1.4021625,50.9427239
73X-T,-1.4022081,50.9424938
75A,-1.4018216,50.9298947
75C,-1.402665,50.9301743
76A,-1.3784044,50.937321
76B,-1.3778009,50.9376576
76C,-1.377127,50.937645
76D,-1.376708,50.937752
76E,-1.376204,50.937859
76F,-1.37733,50.938011
76G,-1.376933,50.938107
76H,-1.376402,50.938232
76J,-1.377561,50.938339
76K,-1.376944,50.938484
76L,-1.376306,50.938629
76M,-1.377389,50.938606
76N,-1.376751,50.938763
76P,-1.377196,50.938877
76Q,-1.376536,50.939026
76R,-1.376976,50.939156
76S,-1.376349,50.939289
76SC,-1.3780581,50.9380566
76T,-1.376783,50.939426
76U,-1.3780779,50.9383121
76V,-1.3781373,50.937561
76W,-1.3779839,50.9372773
76X,-1.3784588,50.9370062
76Z,-1.376976,50.937473
78A,-1.376944,50.936687
78B,-1.377465,50.936699
78C,-1.377534,50.936543
78E,-1.3759936,50.9373466
79A,-1.402425,50.940872
79B,-1.401899,50.940411
79C,-1.401371,50.940643
81A,-1.3907157,50.945967
81B,-1.3904644,50.9458051
81C,-1.390787,50.945606
81D,-1.3909756,50.9458246
81E,-1.3911761,50.9456236
82A,-1.4077298,50.9169714
82B,-1.4098021,50.9157541
94A,-1.380039,50.934563
94B,-1.380039,50.934563
94C,-1.3807397,50.9337771
94F,-1.380549,50.934185
94G,-1.380509,50.934058
94H,-1.380648,50.934078
193,103.61218,1.42987